Date,Open,High,Low,Close,Adj Close,Volume
"Feb 10, 2025",206.14,206.66,203.4,205.22,204.54,"37,87,500"
"Feb 7, 2025",206.48,207.84,204.5,205.28,204.6,"39,54,400"
"Feb 6, 2025",205,206.1,204.06,206.06,205.38,"31,13,200"
"Feb 5, 2025",203.88,205.28,201.79,204.58,203.9,"32,39,400"
"Feb 4, 2025",202.93,204.54,200.43,202.18,201.51,"54,13,800"
"Feb 3, 2025",200,204.73,198.97,204.11,203.43,"46,78,300"
"Jan 31, 2025",205.84,205.87,203.07,203.57,202.9,"55,14,300"
"Jan 30, 2025",199.81,205.93,199.48,205.57,204.89,"62,82,100"
"Jan 29, 2025",194.93,199.94,194.93,199.1,198.44,"55,95,800"
"Jan 28, 2025",195.3,196.55,191.79,194.43,193.79,"48,58,800"
"Jan 27, 2025",194.34,196.63,192.74,194.46,193.82,"76,74,800"
"Jan 24, 2025",202.5,203,195.52,196.75,196.1,"78,35,700"
"Jan 23, 2025",201.4,207.65,198.1,200.8,200.13,"1,44,03,500"
"Jan 22, 2025",188.08,189.24,186.61,188.36,187.74,"74,57,800"
"Jan 21, 2025",184.9,189.32,184.51,187.5,186.88,"75,08,400"
"Jan 17, 2025",180.78,183.19,179.96,182.85,182.24,"58,99,100"
"Jan 16, 2025",181.68,182.88,178.62,179.74,179.14,"61,44,700"
"Jan 15, 2025",179.07,180.88,178.88,180.29,179.69,"73,97,000"
"Jan 14, 2025",173.11,177.9,172.4,176.86,176.27,"64,32,700"
"Jan 13, 2025",169.51,172.52,169,171.57,171,"56,10,800"
"Jan 10, 2025",172.4,173.46,170.74,171.69,171.12,"51,31,200"
"Jan 8, 2025",172,173.58,170.71,172.89,172.32,"45,27,700"
"Jan 7, 2025",172.22,173.7,170.78,172.31,171.74,"64,96,400"
"Jan 6, 2025",173.15,173.68,171.18,172.45,171.88,"49,80,300"
"Jan 3, 2025",169.22,172.63,169,171.96,171.39,"39,75,500"
"Jan 2, 2025",167.92,170.7,167.22,168.59,168.03,"41,48,000"
"Dec 31, 2024",168.5,168.55,166.15,166.79,166.24,"28,06,900"
"Dec 30, 2024",167.2,169.23,166.01,168.1,167.54,"41,17,500"
"Dec 27, 2024",170.72,171.47,168.98,170.08,169.52,"31,88,400"
"Dec 26, 2024",171.02,172.67,170.13,172.15,171.3,"33,09,700"
"Dec 24, 2024",169.24,171.49,168.85,171.49,170.64,"22,35,700"
"Dec 23, 2024",168.12,169.33,166.55,169.02,168.19,"41,27,700"
"Dec 20, 2024",163.97,169.08,163.16,168.37,167.54,"92,81,500"
"Dec 19, 2024",163.03,165.77,162.18,164.8,163.99,"62,57,600"
"Dec 18, 2024",166,166.63,159.6,159.95,159.16,"80,59,100"
"Dec 17, 2024",165.8,166.51,163.53,165.8,164.98,"48,55,100"
"Dec 16, 2024",166.32,169.2,165.45,165.79,164.97,"74,36,000"
"Dec 13, 2024",165.65,167.87,165.54,166.01,165.19,"49,57,100"
"Dec 12, 2024",168.64,169.28,164.45,164.83,164.02,"78,08,600"
"Dec 11, 2024",173.17,173.17,167.93,168.64,167.81,"76,06,400"
"Dec 10, 2024",171.01,173.16,170.61,171.27,170.43,"51,00,300"
"Dec 9, 2024",175,176.37,170.77,171.32,170.47,"65,00,800"
"Dec 6, 2024",173.3,175.83,172.44,175.58,174.71,"68,99,600"
"Dec 5, 2024",180.33,180.77,172.71,172.91,172.06,"75,47,300"
"Dec 4, 2024",180.5,182.9,178,182.65,181.75,"37,13,400"
"Dec 3, 2024",181,182.24,179.91,180.72,179.83,"28,82,300"
"Dec 2, 2024",180.8,181.64,179.42,180.44,179.55,"28,17,700"
"Nov 29, 2024",181.45,182.97,181.13,182.16,181.26,"20,54,700"
"Nov 27, 2024",184.64,184.69,180.44,180.6,179.71,"27,26,200"
"Nov 26, 2024",180.87,184.93,180.42,184.6,183.69,"39,18,900"
"Nov 25, 2024",182.24,183.7,179.55,180.21,179.32,"97,40,700"
"Nov 22, 2024",179.3,181.74,178.78,181.15,180.26,"34,05,200"
"Nov 21, 2024",178.41,180.94,177.34,178.7,177.82,"45,32,000"
"Nov 20, 2024",178.1,178.54,176,177.98,177.1,"32,25,400"
"Nov 19, 2024",176.5,177.88,175.7,177.56,176.68,"32,16,000"
"Nov 18, 2024",177,178.57,175.13,177.52,176.64,"28,35,300"
